DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;0.62;;;
2/1/2015;3.03;;;
3/1/2015;2.58;;;
4/1/2015;1.6;;;
5/1/2015;1.22;;;
6/1/2015;0.29;;;
7/1/2015;3.38;;;
8/1/2015;4.72;;;
9/1/2015;5.29;;;
10/1/2015;2.33;;;
11/1/2015;3.11;;;
12/1/2015;0.99;;;
13/1/2015;0.23;;;
14/1/2015;0.85;;;
15/1/2015;2.73;;;
16/1/2015;14.53;;;
17/1/2015;19.92;;;
18/1/2015;14.58;;;
19/1/2015;6.36;;;
20/1/2015;8.13;;;
21/1/2015;10.76;;;
22/1/2015;17.27;;;
23/1/2015;8.82;;;
24/1/2015;12.73;;;
25/1/2015;0.59;;;
26/1/2015;1.34;;;
27/1/2015;6.2;;;
28/1/2015;1;;;
29/1/2015;0.76;;;
30/1/2015;1.6;;;
31/1/2015;3.02;;;
1/2/2015;0.75;;;
2/2/2015;1.22;;;
3/2/2015;0.24;;;
4/2/2015;3.48;;;
5/2/2015;1.29;;;
6/2/2015;15.7;;;
7/2/2015;51.66;;;
8/2/2015;0.73;;;
9/2/2015;0.38;;;
10/2/2015;1.19;;;
11/2/2015;0.21;;;
12/2/2015;3.63;;;
13/2/2015;1.22;;;
14/2/2015;21.67;;;
15/2/2015;3.09;;;
16/2/2015;1.13;;;
17/2/2015;1;;;
18/2/2015;1.07;;;
19/2/2015;2.2;;;
20/2/2015;4.28;;;
21/2/2015;1.61;;;
22/2/2015;3.87;;;
23/2/2015;25.24;;;
24/2/2015;3.4;;;
25/2/2015;0.55;;;
26/2/2015;1.02;;;
27/2/2015;0.85;;;
28/2/2015;0.87;;;
1/3/2015;4.61;;;
2/3/2015;6.2;;;
3/3/2015;1.23;;;
4/3/2015;13.7;;;
5/3/2015;7.3;;;
6/3/2015;1.2;;;
7/3/2015;1.75;;;
8/3/2015;0.63;;;
9/3/2015;0.39;;;
10/3/2015;0.5;;;
11/3/2015;0.4;;;
12/3/2015;0.81;;;
13/3/2015;2.51;;;
14/3/2015;1.54;;;
15/3/2015;1.25;;;
16/3/2015;3.85;;;
17/3/2015;20.18;;;
18/3/2015;9.91;;;
19/3/2015;8.42;;;
20/3/2015;36.04;;;
21/3/2015;6.87;;;
22/3/2015;2.82;;;
23/3/2015;19.42;;;
24/3/2015;7.31;;;
25/3/2015;6.33;;;
26/3/2015;9.04;;;
27/3/2015;6.44;;;
28/3/2015;2.87;;;
29/3/2015;14.75;;;
30/3/2015;8.35;;;
31/3/2015;7.83;;;
1/4/2015;1.52;;;
2/4/2015;2.07;;;
3/4/2015;2.4;;;
4/4/2015;1.21;;;
5/4/2015;3.66;;;
6/4/2015;0.13;;;
7/4/2015;0.7;;;
8/4/2015;1.19;;;
9/4/2015;1.04;;;
10/4/2015;2.54;;;
11/4/2015;1.79;;;
12/4/2015;0.94;;;
13/4/2015;0.14;;;
14/4/2015;23.9;;;
15/4/2015;5.19;;;
16/4/2015;32.97;;;
17/4/2015;15.47;;;
18/4/2015;5.94;;;
19/4/2015;7.47;;;
20/4/2015;13.34;;;
21/4/2015;7.62;;;
22/4/2015;2.28;;;
23/4/2015;1.11;;;
24/4/2015;1.56;;;
25/4/2015;2.92;;;
26/4/2015;1.06;;;
27/4/2015;2.05;;;
28/4/2015;2.13;;;
29/4/2015;1.62;;;
30/4/2015;6.53;;;
1/5/2015;3.61;;;
2/5/2015;0.33;;;
3/5/2015;5.63;;;
4/5/2015;1.9;;;
5/5/2015;25.16;;;
6/5/2015;2.27;;;
7/5/2015;0.98;;;
8/5/2015;2.02;;;
9/5/2015;1.69;;;
10/5/2015;0.46;;;
11/5/2015;2.13;;;
12/5/2015;0.02;;;
13/5/2015;2.74;;;
14/5/2015;6.06;;;
15/5/2015;2.6;;;
16/5/2015;6.05;;;
17/5/2015;3.17;;;
18/5/2015;1.72;;;
19/5/2015;0.86;;;
20/5/2015;1.8;;;
21/5/2015;7.94;;;
22/5/2015;3.77;;;
23/5/2015;6.17;;;
24/5/2015;1.22;;;
25/5/2015;5;;;
26/5/2015;0.76;;;
27/5/2015;1.41;;;
28/5/2015;4.75;;;
29/5/2015;4.99;;;
30/5/2015;2.74;;;
31/5/2015;3.42;;;
1/6/2015;8.43;;;
2/6/2015;1.82;;;
3/6/2015;0.6;;;
4/6/2015;1.82;;;
5/6/2015;1.95;;;
6/6/2015;0.83;;;
7/6/2015;1.45;;;
8/6/2015;4.99;;;
9/6/2015;4.76;;;
10/6/2015;2.47;;;
11/6/2015;2;;;
12/6/2015;1.21;;;
13/6/2015;9.1;;;
14/6/2015;14.73;;;
15/6/2015;4.11;;;
16/6/2015;1.62;;;
17/6/2015;4.94;;;
18/6/2015;2.3;;;
19/6/2015;0.27;;;
20/6/2015;1.63;;;
21/6/2015;8.77;;;
22/6/2015;0.66;;;
23/6/2015;0.84;;;
24/6/2015;1.72;;;
25/6/2015;0.02;;;
26/6/2015;0.04;;;
27/6/2015;0;;;
28/6/2015;2.46;;;
29/6/2015;0.9;;;
30/6/2015;0.14;;;
1/7/2015;0.42;;;
2/7/2015;0.4;;;
3/7/2015;0.16;;;
4/7/2015;0.2;;;
5/7/2015;0.24;;;
6/7/2015;8.31;;;
7/7/2015;31.22;;;
8/7/2015;0.32;;;
9/7/2015;0.27;;;
10/7/2015;0.05;;;
11/7/2015;0.24;;;
12/7/2015;0.68;;;
13/7/2015;0.01;;;
14/7/2015;2.95;;;
15/7/2015;2.05;;;
16/7/2015;0.27;;;
17/7/2015;1.49;;;
18/7/2015;2.87;;;
19/7/2015;0.72;;;
20/7/2015;5.14;;;
21/7/2015;3.58;;;
22/7/2015;10.58;;;
23/7/2015;3.14;;;
24/7/2015;0.94;;;
25/7/2015;1.07;;;
26/7/2015;0.05;;;
27/7/2015;0.02;;;
28/7/2015;0.95;;;
29/7/2015;0.82;;;
30/7/2015;4.93;;;
31/7/2015;0.62;;;
1/8/2015;0.8;;;
2/8/2015;0.4;;;
3/8/2015;0.03;;;
4/8/2015;0.62;;;
5/8/2015;1.74;;;
6/8/2015;0;;;
7/8/2015;0;;;
8/8/2015;5.87;;;
9/8/2015;6.54;;;
10/8/2015;0.75;;;
11/8/2015;0.61;;;
12/8/2015;0.23;;;
13/8/2015;0.37;;;
14/8/2015;0.76;;;
15/8/2015;0.41;;;
16/8/2015;0.46;;;
17/8/2015;0.08;;;
18/8/2015;0.19;;;
19/8/2015;0.42;;;
20/8/2015;0.4;;;
21/8/2015;0.23;;;
22/8/2015;0.95;;;
23/8/2015;1.6;;;
24/8/2015;0.72;;;
25/8/2015;2.89;;;
26/8/2015;0.3;;;
27/8/2015;3.78;;;
28/8/2015;2.01;;;
29/8/2015;1.32;;;
30/8/2015;0.93;;;
31/8/2015;1.87;;;
1/9/2015;1.14;;;
2/9/2015;0.39;;;
3/9/2015;0.28;;;
4/9/2015;0.12;;;
5/9/2015;5.67;;;
6/9/2015;0.69;;;
7/9/2015;2.58;;;
8/9/2015;0.34;;;
9/9/2015;8.74;;;
10/9/2015;0.71;;;
11/9/2015;2.99;;;
12/9/2015;0.15;;;
13/9/2015;0.28;;;
14/9/2015;5.06;;;
15/9/2015;1.66;;;
16/9/2015;0.16;;;
17/9/2015;2.5;;;
18/9/2015;7.3;;;
19/9/2015;2.86;;;
20/9/2015;0.41;;;
21/9/2015;0.85;;;
22/9/2015;0.03;;;
23/9/2015;0.05;;;
24/9/2015;0.22;;;
25/9/2015;0.02;;;
26/9/2015;0;;;
27/9/2015;0.04;;;
28/9/2015;0.17;;;
29/9/2015;0.42;;;
30/9/2015;7.77;;;
1/10/2015;0.32;;;
2/10/2015;0.53;;;
3/10/2015;0;;;
4/10/2015;4.86;;;
5/10/2015;1.13;;;
6/10/2015;0.17;;;
7/10/2015;2.28;;;
8/10/2015;0.16;;;
9/10/2015;0.44;;;
10/10/2015;3.78;;;
11/10/2015;2.26;;;
12/10/2015;0.99;;;
13/10/2015;2.12;;;
