DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;2.02;;;
2/1/2015;8.1;;;
3/1/2015;0.07;;;
4/1/2015;3.97;;;
5/1/2015;0.28;;;
6/1/2015;0.76;;;
7/1/2015;1.04;;;
8/1/2015;0.56;;;
9/1/2015;0.26;;;
10/1/2015;2.64;;;
11/1/2015;0.58;;;
12/1/2015;0.33;;;
13/1/2015;1.04;;;
14/1/2015;0.77;;;
15/1/2015;8.75;;;
16/1/2015;10.2;;;
17/1/2015;14.19;;;
18/1/2015;18.45;;;
19/1/2015;4.78;;;
20/1/2015;7.86;;;
21/1/2015;7.93;;;
22/1/2015;23.88;;;
23/1/2015;6.31;;;
24/1/2015;6.97;;;
25/1/2015;5.13;;;
26/1/2015;5.57;;;
27/1/2015;11.7;;;
28/1/2015;2.92;;;
29/1/2015;0.44;;;
30/1/2015;0.24;;;
31/1/2015;1.54;;;
1/2/2015;0.38;;;
2/2/2015;1.19;;;
3/2/2015;0.26;;;
4/2/2015;0;;;
5/2/2015;0.16;;;
6/2/2015;8.12;;;
7/2/2015;31.01;;;
8/2/2015;2.86;;;
9/2/2015;1.51;;;
10/2/2015;1.02;;;
11/2/2015;0.73;;;
12/2/2015;0.11;;;
13/2/2015;0.31;;;
14/2/2015;1.89;;;
15/2/2015;14.88;;;
16/2/2015;2.66;;;
17/2/2015;2.34;;;
18/2/2015;2.63;;;
19/2/2015;3.38;;;
20/2/2015;15.19;;;
21/2/2015;9.73;;;
22/2/2015;6.36;;;
23/2/2015;10.22;;;
24/2/2015;7.06;;;
25/2/2015;8.65;;;
26/2/2015;3.37;;;
27/2/2015;4.4;;;
28/2/2015;2.15;;;
1/3/2015;16.12;;;
2/3/2015;4.39;;;
3/3/2015;3.76;;;
4/3/2015;10.81;;;
5/3/2015;23.93;;;
6/3/2015;1.63;;;
7/3/2015;0.48;;;
8/3/2015;0.16;;;
9/3/2015;0.31;;;
10/3/2015;3.08;;;
11/3/2015;0.2;;;
12/3/2015;0.97;;;
13/3/2015;7.31;;;
14/3/2015;4.88;;;
15/3/2015;6.38;;;
16/3/2015;0.65;;;
17/3/2015;5.33;;;
18/3/2015;18.12;;;
19/3/2015;5.54;;;
20/3/2015;26.72;;;
21/3/2015;3.88;;;
22/3/2015;7.1;;;
23/3/2015;10.1;;;
24/3/2015;4.74;;;
25/3/2015;13.73;;;
26/3/2015;3.69;;;
27/3/2015;1.46;;;
28/3/2015;5.53;;;
29/3/2015;18.84;;;
30/3/2015;5.94;;;
31/3/2015;1.58;;;
1/4/2015;0.25;;;
2/4/2015;11.92;;;
3/4/2015;1.61;;;
4/4/2015;4.26;;;
5/4/2015;13.59;;;
6/4/2015;0.76;;;
7/4/2015;0.29;;;
8/4/2015;0.79;;;
9/4/2015;0.38;;;
10/4/2015;3.51;;;
11/4/2015;3.96;;;
12/4/2015;6.25;;;
13/4/2015;3.99;;;
14/4/2015;14.71;;;
15/4/2015;6.73;;;
16/4/2015;22.26;;;
17/4/2015;11.66;;;
18/4/2015;8.05;;;
19/4/2015;2.3;;;
20/4/2015;6.3;;;
21/4/2015;6.84;;;
22/4/2015;0.75;;;
23/4/2015;1.13;;;
24/4/2015;0.22;;;
25/4/2015;0.12;;;
26/4/2015;0.62;;;
27/4/2015;1.87;;;
28/4/2015;1.73;;;
29/4/2015;1.9;;;
30/4/2015;4.36;;;
1/5/2015;4.43;;;
2/5/2015;4.39;;;
3/5/2015;15.23;;;
4/5/2015;3.16;;;
5/5/2015;5.03;;;
6/5/2015;0.59;;;
7/5/2015;1.19;;;
8/5/2015;1.25;;;
9/5/2015;1.08;;;
10/5/2015;0.16;;;
11/5/2015;0.67;;;
12/5/2015;0.46;;;
13/5/2015;0.42;;;
14/5/2015;4.15;;;
15/5/2015;2.17;;;
16/5/2015;6;;;
17/5/2015;3.22;;;
18/5/2015;2.7;;;
19/5/2015;0.23;;;
20/5/2015;0.99;;;
21/5/2015;3.86;;;
22/5/2015;3.8;;;
23/5/2015;3.51;;;
24/5/2015;1.96;;;
25/5/2015;5.7;;;
26/5/2015;4.03;;;
27/5/2015;1.76;;;
28/5/2015;11.7;;;
29/5/2015;7.63;;;
30/5/2015;6.72;;;
31/5/2015;2.61;;;
1/6/2015;0.76;;;
2/6/2015;3.48;;;
3/6/2015;1.17;;;
4/6/2015;0.69;;;
5/6/2015;6.65;;;
6/6/2015;0.81;;;
7/6/2015;0.29;;;
8/6/2015;8.42;;;
9/6/2015;1.53;;;
10/6/2015;2.55;;;
11/6/2015;4.78;;;
12/6/2015;0.38;;;
13/6/2015;7.58;;;
14/6/2015;10.59;;;
15/6/2015;3.02;;;
16/6/2015;4.31;;;
17/6/2015;12.79;;;
18/6/2015;3.25;;;
19/6/2015;1.04;;;
20/6/2015;0.41;;;
21/6/2015;1.51;;;
22/6/2015;0.53;;;
23/6/2015;1.45;;;
24/6/2015;1.08;;;
25/6/2015;0.05;;;
26/6/2015;0.55;;;
27/6/2015;0.3;;;
28/6/2015;1.39;;;
