DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;1.42;;;
2/1/2015;1.28;;;
3/1/2015;0.35;;;
4/1/2015;3.64;;;
5/1/2015;0.06;;;
6/1/2015;3.71;;;
7/1/2015;1.16;;;
8/1/2015;0.97;;;
9/1/2015;1.81;;;
10/1/2015;0.11;;;
11/1/2015;0.03;;;
12/1/2015;0.1;;;
13/1/2015;1.04;;;
14/1/2015;0.76;;;
15/1/2015;1.77;;;
16/1/2015;9.14;;;
17/1/2015;39.03;;;
18/1/2015;14.68;;;
19/1/2015;4.66;;;
20/1/2015;6.2;;;
21/1/2015;3.78;;;
22/1/2015;10.47;;;
23/1/2015;40.23;;;
24/1/2015;21.12;;;
25/1/2015;0.97;;;
26/1/2015;0.41;;;
27/1/2015;6.95;;;
28/1/2015;0.54;;;
29/1/2015;2.71;;;
30/1/2015;1.1;;;
31/1/2015;1.65;;;
1/2/2015;1.08;;;
2/2/2015;1.63;;;
3/2/2015;1.9;;;
4/2/2015;0.14;;;
5/2/2015;0.23;;;
6/2/2015;11.78;;;
7/2/2015;65.84;;;
8/2/2015;0.94;;;
9/2/2015;9.42;;;
10/2/2015;1.33;;;
11/2/2015;0.59;;;
12/2/2015;0.26;;;
13/2/2015;2.3;;;
14/2/2015;8.13;;;
15/2/2015;7.5;;;
16/2/2015;2.62;;;
17/2/2015;4.1;;;
18/2/2015;0.78;;;
19/2/2015;0.4;;;
20/2/2015;1.46;;;
21/2/2015;4.68;;;
22/2/2015;2.88;;;
23/2/2015;8.94;;;
24/2/2015;1.95;;;
25/2/2015;1.98;;;
26/2/2015;0.01;;;
27/2/2015;2.15;;;
28/2/2015;0.3;;;
1/3/2015;1.77;;;
2/3/2015;5.34;;;
3/3/2015;1.12;;;
4/3/2015;12.14;;;
5/3/2015;11.89;;;
6/3/2015;0.35;;;
7/3/2015;0.83;;;
8/3/2015;0.35;;;
9/3/2015;0.79;;;
10/3/2015;0.31;;;
