DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;0.2;;;
2/1/2015;2.72;;;
3/1/2015;0.05;;;
4/1/2015;2.29;;;
5/1/2015;7.16;;;
6/1/2015;2.28;;;
7/1/2015;0.69;;;
8/1/2015;3.84;;;
9/1/2015;0.69;;;
10/1/2015;5.84;;;
11/1/2015;0.36;;;
12/1/2015;0.32;;;
13/1/2015;0.15;;;
14/1/2015;2;;;
15/1/2015;13.96;;;
16/1/2015;11.53;;;
17/1/2015;9.48;;;
18/1/2015;13.18;;;
19/1/2015;8.2;;;
20/1/2015;6.15;;;
21/1/2015;4.21;;;
22/1/2015;26.44;;;
23/1/2015;8.14;;;
24/1/2015;7.41;;;
25/1/2015;3.35;;;
26/1/2015;2.1;;;
27/1/2015;5.65;;;
28/1/2015;6.99;;;
29/1/2015;0.78;;;
30/1/2015;1.55;;;
31/1/2015;1.02;;;
1/2/2015;0.24;;;
2/2/2015;0.35;;;
3/2/2015;0.25;;;
4/2/2015;0.27;;;
5/2/2015;0.16;;;
6/2/2015;11.77;;;
7/2/2015;46.45;;;
8/2/2015;0.76;;;
9/2/2015;0.45;;;
10/2/2015;0.31;;;
11/2/2015;0.28;;;
12/2/2015;0.04;;;
13/2/2015;0.54;;;
14/2/2015;19.39;;;
15/2/2015;8.41;;;
16/2/2015;2.37;;;
17/2/2015;2.37;;;
18/2/2015;5.56;;;
19/2/2015;0.27;;;
20/2/2015;10.55;;;
21/2/2015;5.39;;;
22/2/2015;4.91;;;
23/2/2015;8.37;;;
24/2/2015;5.32;;;
25/2/2015;4.43;;;
26/2/2015;2.4;;;
27/2/2015;3.89;;;
28/2/2015;2.71;;;
1/3/2015;5.84;;;
2/3/2015;6.33;;;
3/3/2015;1.2;;;
4/3/2015;10.42;;;
5/3/2015;23.46;;;
6/3/2015;4.29;;;
7/3/2015;0.42;;;
8/3/2015;1.92;;;
9/3/2015;0.65;;;
10/3/2015;4.19;;;
11/3/2015;1.04;;;
12/3/2015;1.64;;;
13/3/2015;5.44;;;
14/3/2015;4.05;;;
15/3/2015;11.46;;;
16/3/2015;1.98;;;
17/3/2015;10.5;;;
18/3/2015;14.73;;;
19/3/2015;4.05;;;
20/3/2015;26.69;;;
21/3/2015;3.7;;;
22/3/2015;2.07;;;
23/3/2015;9.29;;;
24/3/2015;10.55;;;
25/3/2015;10.93;;;
26/3/2015;3.58;;;
27/3/2015;7.64;;;
28/3/2015;5.6;;;
29/3/2015;19.19;;;
30/3/2015;5.91;;;
31/3/2015;3.25;;;
1/4/2015;1.19;;;
2/4/2015;4.94;;;
3/4/2015;1.5;;;
4/4/2015;4.31;;;
5/4/2015;11.99;;;
6/4/2015;1.03;;;
7/4/2015;0.15;;;
8/4/2015;0.58;;;
9/4/2015;0.61;;;
10/4/2015;0.3;;;
11/4/2015;2.55;;;
12/4/2015;3.84;;;
13/4/2015;2.95;;;
14/4/2015;8.97;;;
15/4/2015;2.7;;;
16/4/2015;25.58;;;
17/4/2015;14.19;;;
18/4/2015;5.74;;;
19/4/2015;19.72;;;
20/4/2015;3.82;;;
21/4/2015;9.18;;;
22/4/2015;0.68;;;
23/4/2015;0.66;;;
24/4/2015;0.74;;;
25/4/2015;0.54;;;
26/4/2015;0.61;;;
27/4/2015;1.22;;;
28/4/2015;1.18;;;
29/4/2015;1.44;;;
30/4/2015;7.12;;;
1/5/2015;5.11;;;
2/5/2015;5.21;;;
3/5/2015;20.75;;;
4/5/2015;3.4;;;
5/5/2015;6.24;;;
6/5/2015;0.81;;;
7/5/2015;1.4;;;
8/5/2015;1.12;;;
9/5/2015;1.02;;;
10/5/2015;0.3;;;
11/5/2015;1.31;;;
12/5/2015;0;;;
13/5/2015;1.75;;;
14/5/2015;1.58;;;
15/5/2015;1.89;;;
16/5/2015;1.88;;;
17/5/2015;2.5;;;
18/5/2015;0.29;;;
19/5/2015;1.79;;;
20/5/2015;0.95;;;
21/5/2015;1.19;;;
22/5/2015;11.3;;;
23/5/2015;9.45;;;
24/5/2015;1.82;;;
25/5/2015;5.33;;;
26/5/2015;1.45;;;
27/5/2015;0.99;;;
28/5/2015;10.04;;;
29/5/2015;6.42;;;
30/5/2015;1.92;;;
31/5/2015;2.38;;;
1/6/2015;0.94;;;
2/6/2015;1.11;;;
3/6/2015;0.5;;;
4/6/2015;0.33;;;
5/6/2015;2.08;;;
6/6/2015;1.1;;;
7/6/2015;0.46;;;
8/6/2015;8.47;;;
9/6/2015;1.44;;;
10/6/2015;5.02;;;
11/6/2015;7.03;;;
12/6/2015;0.51;;;
13/6/2015;14.16;;;
14/6/2015;13.35;;;
15/6/2015;3.73;;;
16/6/2015;1.58;;;
17/6/2015;9.56;;;
18/6/2015;3.31;;;
19/6/2015;0.98;;;
20/6/2015;0.47;;;
21/6/2015;0.64;;;
22/6/2015;0.41;;;
23/6/2015;0.69;;;
24/6/2015;1.62;;;
25/6/2015;0.02;;;
26/6/2015;0.18;;;
27/6/2015;0.16;;;
28/6/2015;0.03;;;
29/6/2015;0.37;;;
30/6/2015;0.73;;;
1/7/2015;0.92;;;
2/7/2015;1.39;;;
3/7/2015;0.75;;;
4/7/2015;0.02;;;
5/7/2015;1.08;;;
6/7/2015;2.33;;;
7/7/2015;9.01;;;
8/7/2015;0.26;;;
9/7/2015;0.31;;;
10/7/2015;0.11;;;
11/7/2015;0;;;
12/7/2015;2.67;;;
13/7/2015;0.58;;;
14/7/2015;1.01;;;
15/7/2015;3.09;;;
16/7/2015;0.78;;;
17/7/2015;1.49;;;
18/7/2015;6.6;;;
19/7/2015;8.82;;;
20/7/2015;2.45;;;
21/7/2015;0.37;;;
22/7/2015;29.48;;;
23/7/2015;0.42;;;
24/7/2015;0.13;;;
25/7/2015;0.24;;;
26/7/2015;1.42;;;
27/7/2015;0;;;
28/7/2015;0.64;;;
29/7/2015;0;;;
30/7/2015;0;;;
31/7/2015;0.04;;;
1/8/2015;0.02;;;
2/8/2015;0.16;;;
3/8/2015;0;;;
4/8/2015;0;;;
5/8/2015;0.1;;;
6/8/2015;0.22;;;
7/8/2015;0;;;
8/8/2015;0.05;;;
9/8/2015;0.91;;;
10/8/2015;0.01;;;
11/8/2015;0.65;;;
12/8/2015;0.91;;;
13/8/2015;0.44;;;
14/8/2015;1.37;;;
15/8/2015;0;;;
16/8/2015;0.32;;;
17/8/2015;0.23;;;
18/8/2015;0.35;;;
19/8/2015;0.11;;;
20/8/2015;1.26;;;
21/8/2015;0.43;;;
22/8/2015;1.91;;;
23/8/2015;3.89;;;
24/8/2015;0.36;;;
25/8/2015;1.25;;;
26/8/2015;0.3;;;
27/8/2015;0.21;;;
28/8/2015;0.76;;;
29/8/2015;0.27;;;
30/8/2015;0;;;
31/8/2015;1.7;;;
1/9/2015;0.2;;;
2/9/2015;0.03;;;
3/9/2015;0.49;;;
4/9/2015;0.06;;;
5/9/2015;0.69;;;
6/9/2015;0.12;;;
7/9/2015;1.93;;;
8/9/2015;0.08;;;
9/9/2015;11.01;;;
10/9/2015;0.09;;;
11/9/2015;1.71;;;
12/9/2015;0.94;;;
13/9/2015;0.5;;;
14/9/2015;0.95;;;
15/9/2015;3.02;;;
16/9/2015;0.19;;;
17/9/2015;11.44;;;
18/9/2015;4.84;;;
19/9/2015;1.8;;;
20/9/2015;1.89;;;
21/9/2015;2.5;;;
22/9/2015;0.03;;;
23/9/2015;0;;;
24/9/2015;0.1;;;
25/9/2015;0.02;;;
26/9/2015;0;;;
27/9/2015;0.24;;;
28/9/2015;0.11;;;
29/9/2015;0.32;;;
30/9/2015;1.07;;;
1/10/2015;0.05;;;
2/10/2015;1.84;;;
3/10/2015;0.03;;;
4/10/2015;0.3;;;
5/10/2015;0.4;;;
6/10/2015;0.11;;;
7/10/2015;0;;;
8/10/2015;0.3;;;
9/10/2015;0.79;;;
10/10/2015;1.23;;;
11/10/2015;1.41;;;
12/10/2015;0.2;;;
