DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;0.2;;;
2/1/2015;0.07;;;
3/1/2015;1.7;;;
4/1/2015;1.18;;;
5/1/2015;0.1;;;
6/1/2015;0;;;
7/1/2015;0.83;;;
8/1/2015;2.01;;;
9/1/2015;1.67;;;
10/1/2015;1.61;;;
11/1/2015;0.03;;;
12/1/2015;0;;;
13/1/2015;0;;;
14/1/2015;0.7;;;
15/1/2015;2.08;;;
16/1/2015;18.1;;;
17/1/2015;21.75;;;
18/1/2015;8.83;;;
19/1/2015;13.63;;;
20/1/2015;8.72;;;
21/1/2015;16.83;;;
22/1/2015;16.95;;;
23/1/2015;8.2;;;
24/1/2015;15;;;
25/1/2015;0.04;;;
26/1/2015;0.82;;;
27/1/2015;9.12;;;
28/1/2015;6.73;;;
29/1/2015;2.94;;;
30/1/2015;1.26;;;
31/1/2015;5.29;;;
1/2/2015;0.14;;;
2/2/2015;0.24;;;
3/2/2015;0.27;;;
4/2/2015;0.39;;;
5/2/2015;0.31;;;
6/2/2015;18.8;;;
7/2/2015;66.36;;;
8/2/2015;0.53;;;
9/2/2015;2.43;;;
10/2/2015;1.91;;;
11/2/2015;0.11;;;
12/2/2015;2.32;;;
13/2/2015;0.11;;;
14/2/2015;16.67;;;
15/2/2015;6.22;;;
16/2/2015;0.36;;;
17/2/2015;1.03;;;
18/2/2015;0.04;;;
19/2/2015;6.72;;;
20/2/2015;2.95;;;
21/2/2015;0.44;;;
22/2/2015;1.48;;;
23/2/2015;17.2;;;
24/2/2015;3.11;;;
25/2/2015;2.29;;;
26/2/2015;0.29;;;
27/2/2015;1.66;;;
28/2/2015;0.1;;;
1/3/2015;2.35;;;
2/3/2015;3.36;;;
3/3/2015;0.07;;;
4/3/2015;7.07;;;
5/3/2015;17.87;;;
6/3/2015;2.22;;;
7/3/2015;1.57;;;
8/3/2015;0;;;
9/3/2015;0;;;
10/3/2015;0;;;
11/3/2015;0.98;;;
12/3/2015;1.08;;;
13/3/2015;1.25;;;
14/3/2015;0.6;;;
15/3/2015;6.4;;;
16/3/2015;1.96;;;
17/3/2015;14.32;;;
18/3/2015;11.75;;;
19/3/2015;13.74;;;
20/3/2015;36.56;;;
21/3/2015;14.9;;;
22/3/2015;3.46;;;
23/3/2015;17.49;;;
24/3/2015;5.94;;;
25/3/2015;5.41;;;
26/3/2015;19.95;;;
27/3/2015;10.46;;;
28/3/2015;5.59;;;
29/3/2015;7.87;;;
30/3/2015;6.93;;;
31/3/2015;8.77;;;
1/4/2015;0.44;;;
2/4/2015;1.2;;;
3/4/2015;2.41;;;
4/4/2015;3.66;;;
5/4/2015;9.24;;;
6/4/2015;0.07;;;
7/4/2015;0.32;;;
8/4/2015;0.44;;;
9/4/2015;0;;;
10/4/2015;6.61;;;
11/4/2015;0.06;;;
12/4/2015;5.78;;;
13/4/2015;0.97;;;
14/4/2015;61.88;;;
15/4/2015;10.42;;;
16/4/2015;21.74;;;
17/4/2015;3.65;;;
18/4/2015;3.66;;;
19/4/2015;6.46;;;
20/4/2015;7.4;;;
21/4/2015;7.39;;;
22/4/2015;1.62;;;
23/4/2015;0.81;;;
24/4/2015;1.55;;;
25/4/2015;2.67;;;
26/4/2015;1.12;;;
27/4/2015;2.45;;;
28/4/2015;1.3;;;
29/4/2015;4.28;;;
30/4/2015;9.68;;;
1/5/2015;3.51;;;
2/5/2015;0.5;;;
3/5/2015;2.98;;;
4/5/2015;4.66;;;
5/5/2015;23.8;;;
6/5/2015;0.99;;;
7/5/2015;0;;;
8/5/2015;6.45;;;
9/5/2015;0.84;;;
10/5/2015;0.54;;;
11/5/2015;2.16;;;
12/5/2015;0.14;;;
13/5/2015;2.83;;;
14/5/2015;10.06;;;
