BasinCode;CM001;CM002;CM003;CM004;CM005;CM006;CM007;CM008
BasinName;San Pedro;Pita;Quito;Pisque;Guayllabamba;Intag;Alambi;Chontal
BasinArea;752,86;592,39;1350,45;1135,78;890,58;1044,22;539,77;630,57
