DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;2.75;;;
2/1/2015;2.76;;;
3/1/2015;1.76;;;
4/1/2015;5.09;;;
5/1/2015;1.35;;;
6/1/2015;0.98;;;
7/1/2015;2.56;;;
8/1/2015;3.2;;;
9/1/2015;3.03;;;
10/1/2015;6.21;;;
11/1/2015;5.61;;;
12/1/2015;4.33;;;
13/1/2015;1.93;;;
14/1/2015;3.27;;;
15/1/2015;2;;;
16/1/2015;1.65;;;
17/1/2015;36.89;;;
18/1/2015;8.88;;;
19/1/2015;3.83;;;
20/1/2015;4.94;;;
21/1/2015;3.91;;;
22/1/2015;13.59;;;
23/1/2015;12.01;;;
24/1/2015;20.75;;;
25/1/2015;4.38;;;
26/1/2015;1.6;;;
27/1/2015;5.68;;;
28/1/2015;0.94;;;
29/1/2015;0.8;;;
30/1/2015;0.98;;;
31/1/2015;1.19;;;
1/2/2015;2.1;;;
2/2/2015;2.55;;;
3/2/2015;0.32;;;
4/2/2015;0.03;;;
5/2/2015;1.53;;;
6/2/2015;11.27;;;
7/2/2015;55.95;;;
8/2/2015;4.2;;;
9/2/2015;6.71;;;
10/2/2015;1.97;;;
11/2/2015;0.35;;;
12/2/2015;1.57;;;
13/2/2015;1.31;;;
14/2/2015;4.54;;;
15/2/2015;6.36;;;
16/2/2015;4.52;;;
17/2/2015;2.28;;;
18/2/2015;2.77;;;
19/2/2015;2.34;;;
20/2/2015;2.9;;;
21/2/2015;12.97;;;
22/2/2015;3.75;;;
23/2/2015;11.14;;;
24/2/2015;4.02;;;
25/2/2015;2.44;;;
26/2/2015;0.81;;;
27/2/2015;1.94;;;
28/2/2015;1.13;;;
1/3/2015;1.39;;;
2/3/2015;5.66;;;
3/3/2015;2.18;;;
4/3/2015;19.35;;;
5/3/2015;11.51;;;
6/3/2015;6.91;;;
7/3/2015;0.77;;;
8/3/2015;0.82;;;
9/3/2015;0.41;;;
10/3/2015;0.57;;;
11/3/2015;0.7;;;
12/3/2015;0.37;;;
13/3/2015;5.36;;;
14/3/2015;0.68;;;
15/3/2015;3.78;;;
16/3/2015;1.85;;;
17/3/2015;8.41;;;
18/3/2015;21.59;;;
19/3/2015;11.94;;;
20/3/2015;19.08;;;
21/3/2015;7.29;;;
22/3/2015;4.85;;;
23/3/2015;10.33;;;
24/3/2015;3.19;;;
25/3/2015;4.36;;;
26/3/2015;6.77;;;
27/3/2015;16.87;;;
28/3/2015;1.39;;;
29/3/2015;16.58;;;
30/3/2015;4.74;;;
31/3/2015;4.22;;;
1/4/2015;2.59;;;
2/4/2015;1.32;;;
3/4/2015;1.45;;;
4/4/2015;2.13;;;
5/4/2015;2.2;;;
6/4/2015;0.46;;;
7/4/2015;1.77;;;
8/4/2015;1.75;;;
