DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;0.02;;;
2/1/2015;4.19;;;
3/1/2015;0;;;
4/1/2015;0.38;;;
5/1/2015;0;;;
6/1/2015;0.59;;;
7/1/2015;0.32;;;
8/1/2015;0;;;
9/1/2015;0;;;
10/1/2015;0;;;
11/1/2015;0.08;;;
12/1/2015;0.02;;;
13/1/2015;0.59;;;
14/1/2015;0;;;
15/1/2015;0.14;;;
16/1/2015;6.09;;;
17/1/2015;25.22;;;
18/1/2015;13.2;;;
19/1/2015;5.33;;;
20/1/2015;2.75;;;
21/1/2015;27.28;;;
22/1/2015;12.16;;;
23/1/2015;7.45;;;
24/1/2015;38.44;;;
25/1/2015;0.08;;;
26/1/2015;2.07;;;
27/1/2015;3.87;;;
28/1/2015;0.69;;;
29/1/2015;0;;;
30/1/2015;0.33;;;
31/1/2015;0.39;;;
1/2/2015;0.16;;;
2/2/2015;0;;;
3/2/2015;0.43;;;
4/2/2015;0.04;;;
5/2/2015;0.09;;;
6/2/2015;8.09;;;
7/2/2015;69.19;;;
8/2/2015;0.63;;;
9/2/2015;0.69;;;
10/2/2015;0.35;;;
11/2/2015;0.21;;;
12/2/2015;0;;;
13/2/2015;0.16;;;
14/2/2015;9.3;;;
15/2/2015;1.89;;;
16/2/2015;0.22;;;
17/2/2015;0.33;;;
18/2/2015;0;;;
19/2/2015;0;;;
20/2/2015;13.63;;;
21/2/2015;3.48;;;
22/2/2015;5.44;;;
23/2/2015;11.95;;;
24/2/2015;1.02;;;
25/2/2015;5.37;;;
26/2/2015;0.03;;;
27/2/2015;0.11;;;
28/2/2015;0;;;
1/3/2015;5.16;;;
2/3/2015;0.84;;;
3/3/2015;0.27;;;
4/3/2015;20.99;;;
5/3/2015;13.57;;;
6/3/2015;0.74;;;
7/3/2015;0.49;;;
8/3/2015;0;;;
9/3/2015;0;;;
10/3/2015;0;;;
11/3/2015;0.15;;;
12/3/2015;0;;;
13/3/2015;2.93;;;
14/3/2015;0;;;
15/3/2015;4.2;;;
16/3/2015;0;;;
17/3/2015;2.44;;;
18/3/2015;29.4;;;
19/3/2015;4.84;;;
20/3/2015;41.04;;;
21/3/2015;1.24;;;
22/3/2015;0.45;;;
23/3/2015;9.4;;;
24/3/2015;2.78;;;
25/3/2015;1.18;;;
26/3/2015;4.36;;;
27/3/2015;4.71;;;
28/3/2015;0.26;;;
29/3/2015;25.07;;;
30/3/2015;2.69;;;
31/3/2015;9.61;;;
1/4/2015;1.12;;;
2/4/2015;2.14;;;
3/4/2015;0.92;;;
4/4/2015;0.22;;;
5/4/2015;3.04;;;
6/4/2015;0.03;;;
7/4/2015;0;;;
8/4/2015;0;;;
9/4/2015;0.13;;;
10/4/2015;1.7;;;
11/4/2015;0;;;
12/4/2015;7.11;;;
13/4/2015;0;;;
14/4/2015;25.91;;;
15/4/2015;0.44;;;
16/4/2015;46.07;;;
17/4/2015;24.22;;;
18/4/2015;5.24;;;
19/4/2015;6.1;;;
20/4/2015;9.67;;;
21/4/2015;3.78;;;
22/4/2015;0;;;
23/4/2015;0.15;;;
24/4/2015;0.24;;;
25/4/2015;0.36;;;
26/4/2015;0.16;;;
27/4/2015;0.36;;;
28/4/2015;0;;;
29/4/2015;0.84;;;
30/4/2015;3.65;;;
1/5/2015;12.53;;;
2/5/2015;0.43;;;
3/5/2015;16.62;;;
4/5/2015;4.24;;;
5/5/2015;18.54;;;
6/5/2015;1.57;;;
7/5/2015;0.58;;;
8/5/2015;0;;;
9/5/2015;0;;;
10/5/2015;0.38;;;
11/5/2015;0.85;;;
12/5/2015;0.4;;;
13/5/2015;2.56;;;
14/5/2015;0.73;;;
15/5/2015;5.24;;;
16/5/2015;6.34;;;
17/5/2015;1.28;;;
18/5/2015;0.04;;;
19/5/2015;0;;;
20/5/2015;17.84;;;
21/5/2015;2.63;;;
22/5/2015;2.7;;;
23/5/2015;0.04;;;
24/5/2015;0.88;;;
25/5/2015;4.91;;;
26/5/2015;0.42;;;
27/5/2015;0.34;;;
28/5/2015;0.47;;;
29/5/2015;5.58;;;
30/5/2015;2.73;;;
31/5/2015;0.08;;;
1/6/2015;2.25;;;
2/6/2015;0.41;;;
3/6/2015;1.93;;;
4/6/2015;0.48;;;
5/6/2015;0.1;;;
6/6/2015;3.84;;;
7/6/2015;0;;;
8/6/2015;3.16;;;
9/6/2015;1.07;;;
10/6/2015;5.53;;;
11/6/2015;8.64;;;
12/6/2015;0.84;;;
13/6/2015;11.22;;;
14/6/2015;0.19;;;
15/6/2015;0.47;;;
16/6/2015;3.28;;;
17/6/2015;0.74;;;
18/6/2015;1.24;;;
19/6/2015;0;;;
20/6/2015;0.13;;;
21/6/2015;1.06;;;
22/6/2015;0.16;;;
23/6/2015;0;;;
24/6/2015;0;;;
25/6/2015;0.02;;;
26/6/2015;0.19;;;
27/6/2015;1.48;;;
28/6/2015;0.65;;;
29/6/2015;0.06;;;
30/6/2015;0;;;
1/7/2015;0;;;
2/7/2015;0;;;
3/7/2015;3.6;;;
4/7/2015;0;;;
5/7/2015;1.83;;;
6/7/2015;8.88;;;
7/7/2015;31.39;;;
8/7/2015;0;;;
9/7/2015;0.06;;;
10/7/2015;0;;;
11/7/2015;0;;;
12/7/2015;0;;;
13/7/2015;0.64;;;
14/7/2015;1.68;;;
15/7/2015;0;;;
16/7/2015;0;;;
17/7/2015;0.94;;;
18/7/2015;8.87;;;
19/7/2015;0.05;;;
20/7/2015;4.5;;;
21/7/2015;0.32;;;
22/7/2015;14.69;;;
23/7/2015;2.3;;;
24/7/2015;0.8;;;
25/7/2015;0.1;;;
26/7/2015;0;;;
27/7/2015;0;;;
28/7/2015;8.86;;;
29/7/2015;0.26;;;
30/7/2015;0;;;
31/7/2015;0;;;
1/8/2015;0;;;
2/8/2015;3.54;;;
3/8/2015;4.17;;;
4/8/2015;0;;;
5/8/2015;0;;;
6/8/2015;0;;;
7/8/2015;0;;;
8/8/2015;0;;;
9/8/2015;0.89;;;
10/8/2015;7.93;;;
11/8/2015;0;;;
12/8/2015;0;;;
13/8/2015;0;;;
14/8/2015;1.69;;;
15/8/2015;3.93;;;
16/8/2015;0;;;
17/8/2015;0;;;
18/8/2015;0;;;
19/8/2015;0;;;
20/8/2015;0;;;
21/8/2015;0.15;;;
22/8/2015;0;;;
23/8/2015;0.05;;;
24/8/2015;0;;;
25/8/2015;1.11;;;
26/8/2015;0;;;
27/8/2015;2.58;;;
28/8/2015;1.28;;;
29/8/2015;0.64;;;
