DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;1.27;;;
2/1/2015;0.21;;;
3/1/2015;0.07;;;
4/1/2015;0.07;;;
5/1/2015;2.91;;;
6/1/2015;0.61;;;
7/1/2015;2.17;;;
8/1/2015;3.19;;;
9/1/2015;1.94;;;
10/1/2015;2.41;;;
11/1/2015;0.05;;;
12/1/2015;0.19;;;
13/1/2015;0.63;;;
14/1/2015;2.15;;;
15/1/2015;11.49;;;
16/1/2015;7.15;;;
17/1/2015;15.4;;;
18/1/2015;14.18;;;
19/1/2015;8.68;;;
20/1/2015;12.94;;;
21/1/2015;2.27;;;
22/1/2015;25.38;;;
23/1/2015;13.45;;;
24/1/2015;12.83;;;
25/1/2015;6.5;;;
26/1/2015;3.93;;;
27/1/2015;8.43;;;
28/1/2015;3.53;;;
29/1/2015;0.48;;;
30/1/2015;0.58;;;
31/1/2015;4.77;;;
1/2/2015;1.94;;;
2/2/2015;0.02;;;
3/2/2015;0.05;;;
4/2/2015;0.67;;;
5/2/2015;0.49;;;
6/2/2015;3.39;;;
7/2/2015;64.62;;;
8/2/2015;6.11;;;
9/2/2015;5.25;;;
10/2/2015;0.77;;;
11/2/2015;1.43;;;
12/2/2015;0.05;;;
13/2/2015;1.41;;;
14/2/2015;3.21;;;
15/2/2015;14.53;;;
16/2/2015;2.43;;;
17/2/2015;1.68;;;
18/2/2015;4.75;;;
19/2/2015;1.01;;;
20/2/2015;12.98;;;
21/2/2015;7.5;;;
22/2/2015;4.37;;;
23/2/2015;9.45;;;
24/2/2015;3.03;;;
25/2/2015;2.09;;;
26/2/2015;2.46;;;
27/2/2015;5.19;;;
28/2/2015;1.19;;;
1/3/2015;12.17;;;
2/3/2015;8.59;;;
3/3/2015;5.2;;;
4/3/2015;7.73;;;
5/3/2015;16.52;;;
6/3/2015;1.65;;;
7/3/2015;0.8;;;
8/3/2015;0.52;;;
9/3/2015;0.07;;;
10/3/2015;4.56;;;
11/3/2015;4.38;;;
12/3/2015;1.49;;;
13/3/2015;2.85;;;
14/3/2015;5.38;;;
15/3/2015;7.47;;;
16/3/2015;4.1;;;
17/3/2015;10.59;;;
18/3/2015;12.14;;;
19/3/2015;11.73;;;
20/3/2015;27.77;;;
21/3/2015;2.47;;;
22/3/2015;5.91;;;
23/3/2015;14.48;;;
24/3/2015;6.56;;;
25/3/2015;10.04;;;
26/3/2015;5.25;;;
27/3/2015;5;;;
28/3/2015;7.01;;;
29/3/2015;22.58;;;
30/3/2015;4.74;;;
31/3/2015;5.63;;;
1/4/2015;0.63;;;
2/4/2015;25.01;;;
3/4/2015;0.55;;;
4/4/2015;0.51;;;
5/4/2015;16.92;;;
6/4/2015;1.01;;;
7/4/2015;0.2;;;
8/4/2015;0.52;;;
9/4/2015;0.15;;;
10/4/2015;1.37;;;
11/4/2015;2.95;;;
12/4/2015;7.25;;;
13/4/2015;3.73;;;
14/4/2015;13.57;;;
15/4/2015;4.76;;;
16/4/2015;28.31;;;
17/4/2015;14.66;;;
18/4/2015;6.06;;;
19/4/2015;5.55;;;
20/4/2015;17.63;;;
21/4/2015;9.83;;;
22/4/2015;2.95;;;
23/4/2015;1.42;;;
24/4/2015;0.79;;;
25/4/2015;0.75;;;
26/4/2015;0.23;;;
27/4/2015;2.24;;;
28/4/2015;2.56;;;
29/4/2015;2.11;;;
30/4/2015;5.08;;;
1/5/2015;3.5;;;
2/5/2015;3.8;;;
3/5/2015;14.12;;;
4/5/2015;3.4;;;
5/5/2015;7.59;;;
6/5/2015;0.87;;;
7/5/2015;1.64;;;
8/5/2015;0.64;;;
9/5/2015;1.95;;;
10/5/2015;0.28;;;
11/5/2015;3.89;;;
12/5/2015;0.73;;;
13/5/2015;3.74;;;
14/5/2015;8.2;;;
15/5/2015;4.12;;;
16/5/2015;4.27;;;
17/5/2015;5.03;;;
18/5/2015;0.11;;;
19/5/2015;0.06;;;
20/5/2015;1.49;;;
21/5/2015;3.78;;;
22/5/2015;4.32;;;
23/5/2015;13.74;;;
24/5/2015;2.14;;;
25/5/2015;4.04;;;
26/5/2015;3.14;;;
27/5/2015;2.39;;;
28/5/2015;8.01;;;
29/5/2015;7.08;;;
30/5/2015;2.03;;;
31/5/2015;3.32;;;
1/6/2015;1.94;;;
2/6/2015;2.58;;;
3/6/2015;1.87;;;
4/6/2015;1.43;;;
5/6/2015;3.06;;;
6/6/2015;2.05;;;
7/6/2015;1.17;;;
8/6/2015;7.64;;;
9/6/2015;1.45;;;
10/6/2015;9.28;;;
11/6/2015;7.36;;;
12/6/2015;0.52;;;
13/6/2015;13.19;;;
14/6/2015;16.03;;;
15/6/2015;3.66;;;
16/6/2015;5.03;;;
17/6/2015;5.45;;;
18/6/2015;2.42;;;
19/6/2015;0.98;;;
20/6/2015;0.51;;;
21/6/2015;0.96;;;
22/6/2015;3.32;;;
23/6/2015;0.93;;;
24/6/2015;1.53;;;
25/6/2015;0.05;;;
26/6/2015;0.18;;;
27/6/2015;0.15;;;
28/6/2015;3.49;;;
29/6/2015;0.79;;;
30/6/2015;0.46;;;
1/7/2015;0.68;;;
2/7/2015;0.98;;;
3/7/2015;0.79;;;
4/7/2015;0.13;;;
5/7/2015;0.07;;;
6/7/2015;2.51;;;
7/7/2015;0.73;;;
8/7/2015;0.11;;;
9/7/2015;0.02;;;
10/7/2015;0.12;;;
11/7/2015;0.25;;;
12/7/2015;0.31;;;
13/7/2015;0.09;;;
14/7/2015;0.25;;;
15/7/2015;3.76;;;
16/7/2015;1.02;;;
17/7/2015;1.32;;;
18/7/2015;5.7;;;
19/7/2015;25.33;;;
20/7/2015;3.29;;;
21/7/2015;0.69;;;
22/7/2015;24.25;;;
23/7/2015;5.06;;;
24/7/2015;1.27;;;
25/7/2015;1.53;;;
26/7/2015;1.06;;;
27/7/2015;0;;;
28/7/2015;1.03;;;
29/7/2015;0;;;
30/7/2015;0.07;;;
31/7/2015;0.03;;;
1/8/2015;0.69;;;
2/8/2015;8.18;;;
3/8/2015;0.01;;;
4/8/2015;0.02;;;
5/8/2015;1.76;;;
6/8/2015;0.13;;;
7/8/2015;0.67;;;
8/8/2015;0.23;;;
9/8/2015;1.12;;;
10/8/2015;1.2;;;
11/8/2015;0.11;;;
12/8/2015;0.18;;;
13/8/2015;2.55;;;
14/8/2015;2.92;;;
15/8/2015;1.76;;;
16/8/2015;0.18;;;
17/8/2015;3.23;;;
18/8/2015;0.2;;;
19/8/2015;0.21;;;
20/8/2015;0.43;;;
21/8/2015;0.08;;;
22/8/2015;1.89;;;
23/8/2015;1.11;;;
24/8/2015;0.54;;;
25/8/2015;0.35;;;
26/8/2015;0.24;;;
27/8/2015;0.23;;;
28/8/2015;1.76;;;
29/8/2015;0.24;;;
30/8/2015;0.55;;;
31/8/2015;4.66;;;
1/9/2015;0.46;;;
2/9/2015;0.09;;;
3/9/2015;0;;;
4/9/2015;0.04;;;
5/9/2015;0;;;
6/9/2015;0.57;;;
7/9/2015;5.3;;;
8/9/2015;0.85;;;
9/9/2015;2.93;;;
10/9/2015;4.16;;;
11/9/2015;3.53;;;
12/9/2015;0.01;;;
13/9/2015;0;;;
14/9/2015;1.03;;;
15/9/2015;1.61;;;
16/9/2015;1.23;;;
17/9/2015;6.35;;;
18/9/2015;8.93;;;
19/9/2015;3.45;;;
20/9/2015;0.62;;;
21/9/2015;0.05;;;
22/9/2015;0.22;;;
23/9/2015;0.44;;;
24/9/2015;0.31;;;
25/9/2015;0.09;;;
26/9/2015;0.09;;;
27/9/2015;0;;;
28/9/2015;0;;;
