DATE;PRECIP;PET;FLOW_mmday;TEMP
1/1/2015;3.94;;;
2/1/2015;0.81;;;
3/1/2015;0.1;;;
4/1/2015;2.38;;;
5/1/2015;0.28;;;
6/1/2015;1.8;;;
7/1/2015;0;;;
8/1/2015;0;;;
9/1/2015;2.39;;;
10/1/2015;0;;;
11/1/2015;0;;;
12/1/2015;0.11;;;
13/1/2015;0.15;;;
14/1/2015;0;;;
15/1/2015;6.94;;;
16/1/2015;15.99;;;
17/1/2015;45.06;;;
18/1/2015;7.55;;;
19/1/2015;18.33;;;
20/1/2015;12.22;;;
21/1/2015;5.87;;;
22/1/2015;13.7;;;
23/1/2015;8.15;;;
24/1/2015;30.88;;;
25/1/2015;0.33;;;
26/1/2015;0.19;;;
27/1/2015;11.01;;;
28/1/2015;0.35;;;
29/1/2015;1.85;;;
30/1/2015;0.69;;;
31/1/2015;1.56;;;
1/2/2015;0.35;;;
2/2/2015;0.02;;;
3/2/2015;2.04;;;
4/2/2015;0.18;;;
5/2/2015;0.33;;;
6/2/2015;36.34;;;
7/2/2015;57.07;;;
8/2/2015;4.09;;;
9/2/2015;3.33;;;
10/2/2015;2.52;;;
11/2/2015;0.26;;;
12/2/2015;2.07;;;
13/2/2015;0.02;;;
14/2/2015;11.39;;;
15/2/2015;8.49;;;
16/2/2015;0.67;;;
17/2/2015;0.03;;;
18/2/2015;0.55;;;
19/2/2015;6.99;;;
20/2/2015;0.31;;;
21/2/2015;0.35;;;
22/2/2015;2.09;;;
23/2/2015;10.66;;;
24/2/2015;1.59;;;
25/2/2015;0.95;;;
26/2/2015;0.02;;;
27/2/2015;0.94;;;
28/2/2015;1.26;;;
1/3/2015;1.81;;;
2/3/2015;3.71;;;
3/3/2015;0.13;;;
4/3/2015;8.44;;;
5/3/2015;18.21;;;
6/3/2015;0.96;;;
7/3/2015;0.71;;;
8/3/2015;0.21;;;
9/3/2015;0;;;
10/3/2015;0.41;;;
11/3/2015;0.85;;;
12/3/2015;1.11;;;
13/3/2015;7;;;
14/3/2015;1.69;;;
15/3/2015;3.7;;;
16/3/2015;2.12;;;
17/3/2015;12.5;;;
18/3/2015;16.5;;;
19/3/2015;15.03;;;
20/3/2015;49.73;;;
21/3/2015;11.56;;;
22/3/2015;3.95;;;
23/3/2015;8.44;;;
24/3/2015;10.4;;;
25/3/2015;12.71;;;
26/3/2015;8.44;;;
27/3/2015;22.71;;;
28/3/2015;9.13;;;
29/3/2015;9.03;;;
30/3/2015;6.07;;;
31/3/2015;7.69;;;
1/4/2015;1.64;;;
2/4/2015;1.16;;;
3/4/2015;1.45;;;
4/4/2015;3.19;;;
5/4/2015;11.96;;;
6/4/2015;0.96;;;
7/4/2015;0;;;
8/4/2015;0.78;;;
9/4/2015;0.07;;;
10/4/2015;15.16;;;
11/4/2015;0.72;;;
12/4/2015;5.37;;;
13/4/2015;0.26;;;
14/4/2015;59.43;;;
15/4/2015;32.37;;;
16/4/2015;27.84;;;
17/4/2015;14.54;;;
18/4/2015;8.8;;;
19/4/2015;10.01;;;
20/4/2015;11.35;;;
21/4/2015;13.82;;;
22/4/2015;0.16;;;
23/4/2015;0.47;;;
24/4/2015;0.98;;;
25/4/2015;1.42;;;
26/4/2015;2.15;;;
27/4/2015;1.94;;;
28/4/2015;1.78;;;
29/4/2015;5.17;;;
30/4/2015;8.35;;;
1/5/2015;6.22;;;
2/5/2015;0.19;;;
3/5/2015;9.78;;;
4/5/2015;6.07;;;
5/5/2015;18.8;;;
6/5/2015;1.51;;;
7/5/2015;0.55;;;
8/5/2015;1.27;;;
9/5/2015;0.13;;;
10/5/2015;0.41;;;
11/5/2015;5.79;;;
12/5/2015;2;;;
13/5/2015;6.6;;;
14/5/2015;7.23;;;
15/5/2015;3.74;;;
16/5/2015;5.9;;;
17/5/2015;0.36;;;
18/5/2015;0.24;;;
19/5/2015;0.5;;;
20/5/2015;6.11;;;
21/5/2015;18.99;;;
22/5/2015;3.33;;;
23/5/2015;3.29;;;
24/5/2015;2.66;;;
25/5/2015;6.82;;;
26/5/2015;3.59;;;
27/5/2015;1.92;;;
28/5/2015;7.16;;;
29/5/2015;5.43;;;
30/5/2015;1.65;;;
31/5/2015;0.78;;;
1/6/2015;1.56;;;
2/6/2015;3.14;;;
3/6/2015;1.08;;;
4/6/2015;0.57;;;
5/6/2015;2.15;;;
6/6/2015;1.66;;;
7/6/2015;3.3;;;
8/6/2015;6.32;;;
9/6/2015;2.93;;;
10/6/2015;5.9;;;
11/6/2015;4.22;;;
12/6/2015;2.9;;;
13/6/2015;16.14;;;
14/6/2015;5.36;;;
15/6/2015;4.48;;;
16/6/2015;0;;;
17/6/2015;5.07;;;
18/6/2015;8.42;;;
19/6/2015;1.67;;;
20/6/2015;2.96;;;
21/6/2015;1.59;;;
22/6/2015;0.05;;;
23/6/2015;0;;;
24/6/2015;1.11;;;
25/6/2015;6.72;;;
26/6/2015;1.45;;;
27/6/2015;0.23;;;
28/6/2015;4.21;;;
29/6/2015;2.79;;;
30/6/2015;0.11;;;
1/7/2015;0;;;
2/7/2015;0.93;;;
3/7/2015;1.91;;;
4/7/2015;4.78;;;
5/7/2015;4.79;;;
6/7/2015;22.33;;;
7/7/2015;18.67;;;
8/7/2015;1.62;;;
9/7/2015;0;;;
10/7/2015;0.16;;;
11/7/2015;1.32;;;
12/7/2015;1.85;;;
13/7/2015;1.9;;;
14/7/2015;0.72;;;
15/7/2015;1.57;;;
16/7/2015;0.05;;;
17/7/2015;0.82;;;
18/7/2015;9.99;;;
19/7/2015;1.87;;;
20/7/2015;6.03;;;
21/7/2015;0.5;;;
22/7/2015;10.03;;;
23/7/2015;3.74;;;
24/7/2015;0.99;;;
25/7/2015;1.29;;;
26/7/2015;1.44;;;
27/7/2015;0.25;;;
28/7/2015;4.64;;;
29/7/2015;0.21;;;
30/7/2015;5.58;;;
31/7/2015;0.19;;;
1/8/2015;0.32;;;
2/8/2015;0;;;
3/8/2015;9.16;;;
4/8/2015;1.41;;;
5/8/2015;0.31;;;
6/8/2015;0;;;
7/8/2015;0;;;
8/8/2015;0.26;;;
9/8/2015;0.91;;;
10/8/2015;0.45;;;
11/8/2015;0;;;
12/8/2015;0.04;;;
13/8/2015;0.04;;;
14/8/2015;0.93;;;
15/8/2015;11.6;;;
16/8/2015;0.21;;;
17/8/2015;0;;;
18/8/2015;0.2;;;
19/8/2015;1.52;;;
20/8/2015;0.57;;;
21/8/2015;0.99;;;
22/8/2015;0;;;
23/8/2015;1.88;;;
24/8/2015;0.57;;;
25/8/2015;1.95;;;
26/8/2015;0.52;;;
27/8/2015;1.24;;;
28/8/2015;0.54;;;
29/8/2015;0;;;
30/8/2015;2.02;;;
31/8/2015;0;;;
1/9/2015;1.31;;;
2/9/2015;1.69;;;
3/9/2015;1.59;;;
4/9/2015;0.2;;;
5/9/2015;0;;;
6/9/2015;1.61;;;
7/9/2015;3.29;;;
8/9/2015;0;;;
9/9/2015;6.1;;;
10/9/2015;0.53;;;
11/9/2015;5.06;;;
12/9/2015;0.09;;;
13/9/2015;0;;;
14/9/2015;1.21;;;
15/9/2015;0;;;
16/9/2015;0.08;;;
17/9/2015;0.95;;;
18/9/2015;18.77;;;
19/9/2015;1.3;;;
20/9/2015;0.69;;;
21/9/2015;1.26;;;
22/9/2015;2.18;;;
23/9/2015;0.07;;;
24/9/2015;0;;;
25/9/2015;0.68;;;
26/9/2015;0;;;
27/9/2015;0.19;;;
28/9/2015;1.16;;;
29/9/2015;0;;;
30/9/2015;0.47;;;
1/10/2015;0.07;;;
2/10/2015;0.15;;;
3/10/2015;0;;;
4/10/2015;1.57;;;
5/10/2015;0.29;;;
6/10/2015;0.58;;;
7/10/2015;0.38;;;
8/10/2015;0;;;
9/10/2015;0.59;;;
10/10/2015;7.16;;;
11/10/2015;1.49;;;
12/10/2015;0.33;;;
13/10/2015;3.73;;;
14/10/2015;12.51;;;
15/10/2015;19.72;;;
16/10/2015;26.41;;;
17/10/2015;1.51;;;
18/10/2015;0.45;;;
19/10/2015;1.82;;;
20/10/2015;3.47;;;
21/10/2015;0.22;;;
22/10/2015;0;;;
23/10/2015;1.44;;;
24/10/2015;2.31;;;
25/10/2015;15.48;;;
26/10/2015;2.14;;;
27/10/2015;23.8;;;
28/10/2015;0.01;;;
29/10/2015;5.27;;;
30/10/2015;3.67;;;
31/10/2015;8.62;;;
1/11/2015;2.27;;;
2/11/2015;0.84;;;
3/11/2015;0.2;;;
4/11/2015;0.11;;;
5/11/2015;0.65;;;
6/11/2015;3.2;;;
7/11/2015;28.12;;;
8/11/2015;2.63;;;
9/11/2015;0.34;;;
10/11/2015;1.05;;;
11/11/2015;2.06;;;
12/11/2015;0.73;;;
13/11/2015;0;;;
14/11/2015;0;;;
15/11/2015;6.57;;;
16/11/2015;1.58;;;
17/11/2015;4.45;;;
18/11/2015;9.6;;;
19/11/2015;3.41;;;
20/11/2015;4.72;;;
21/11/2015;2.74;;;
22/11/2015;2.83;;;
23/11/2015;17.63;;;
24/11/2015;19.39;;;
25/11/2015;6.27;;;
26/11/2015;2.56;;;
27/11/2015;3.35;;;
28/11/2015;5.93;;;
29/11/2015;0.11;;;
30/11/2015;0.53;;;
1/12/2015;13.41;;;
2/12/2015;38.99;;;
3/12/2015;2.79;;;
4/12/2015;23.39;;;
5/12/2015;19.24;;;
6/12/2015;6.62;;;
7/12/2015;9.66;;;
8/12/2015;1.84;;;
9/12/2015;0.29;;;
10/12/2015;1.14;;;
11/12/2015;0.43;;;
12/12/2015;0;;;
13/12/2015;1.65;;;
14/12/2015;11.85;;;
15/12/2015;9.17;;;
16/12/2015;1.01;;;
17/12/2015;0.68;;;
18/12/2015;13.37;;;
19/12/2015;5.64;;;
20/12/2015;0.67;;;
21/12/2015;0.84;;;
22/12/2015;0;;;
23/12/2015;0.1;;;
24/12/2015;5.18;;;
25/12/2015;0;;;
26/12/2015;5.88;;;
27/12/2015;2.58;;;
28/12/2015;19.45;;;
29/12/2015;0.35;;;
30/12/2015;2.16;;;
